Refs,Qty,Link,MPN,datasheet,footprint,value
ANT1,1,https://www.digikey.com/product-detail/en/amphenol-rf-division/A-1JB/ARF1579CT-ND/1196264,A-1JB,,beaglephone-pocket:A-1JB,A-1JB
C1,1,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J106ME84D/490-7316-1-ND/4251709,GRM188R60J106ME84D,,Capacitors_SMD:C_0603,10u
"C3-C5, C8, C10, C11, C15",7,NULL,NULL,,Capacitors_SMD:C_0402,NOPE
"C7, C9, C12, C21, C27",5,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J226MEA0D/490-7611-1-ND/4280544,GRM188R60J226MEA0D,,Capacitors_SMD:C_0603,22U
"C13, C14, C22",3,https://www.digikey.com/product-detail/en/avx-corporation/F950J337MBAAQ2/478-8408-1-ND/4006044,F950J337MBAAQ2,,Capacitors_SMD:C_1210,330U
C16,1,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL05B104KO5NNNC/1276-1001-1-ND/3889087,CL05B104KO5NNNC,,Capacitors_SMD:C_0402,0.1U
C17-C20,4,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1555C1H470JA01D/490-5942-1-ND/3721299,GRM1555C1H470JA01,,Capacitors_SMD:C_0402,47p
C2,1,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM155R61C104KA88D/490-5415-1-ND/2175222,GRM155R61C104KA88D,,Capacitors_SMD:C_0402,100n
C23,1,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1555C1H100JA01D/490-5921-1-ND/3721278,GRM1555C1H100JA01D,,Capacitors_SMD:C_0402,10n
C24,1,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM155R71C104KA88J/490-6328-1-ND/3845525,GRM155R71C104KA88J,,Capacitors_SMD:C_0402,100n
C25,1,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1555C1H560JA01D/490-1288-1-ND/587890,GRM1555C1H560JA01D,,Capacitors_SMD:C_0402,56p
C26,1,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GJM1555C1H150JB01D/490-3117-1-ND/702383,GJM1555C1H150JB01D,,Capacitors_SMD:C_0402,15p
C6,1,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10A225MQ8NNNC/1276-1888-1-ND/3889974,CL10A225MQ8NNNC,,Capacitors_SMD:C_0603,2.2U
D1,1,https://www.digikey.com/product-detail/en/vishay-semiconductor-opto-division/VLMS1500-GS08/VLMS1500-GS08CT-ND/3504675,VLMS1500-GS08,,LEDs:LED_0402,Red LED
"D2-D4, D10-D13",7,https://www.digikey.com/product-detail/en/littelfuse-inc/PESD0402-140/PESD0402-140CT-ND/1968526,PESD0402-140,,Resistors_SMD:R_0402,PESD0402
D5-D8,4,https://www.digikey.com/product-detail/en/on-semiconductor/MBR0520LT1G/MBR0520LT1GOSCT-ND/917965,MBR0520LT1G,,Diodes_SMD:D_SOD-123,MBR052
D9,1,https://www.digikey.com/product-detail/en/vishay-semiconductor-opto-division/VLMB1500-GS08/VLMB1500-GS08TR-ND/3504677,VLMB1500-GS08,,LEDs:LED_0402,Blue LED
"J1, J2",2,https://www.digikey.com/product-detail/en/wurth-electronics-inc/61300211121/732-5315-ND/4846823,61300211121,,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,Conn_01x02
